Date,Ret1,Ret2,Ret3,Ret4
2004-02-04,10488.070313,10499.179688,10505.179688,10470.740234
2004-02-05,10499.179688,10505.179688,10470.740234,10495.549805
2004-02-06,10505.179688,10470.740234,10495.549805,10593.030273
2004-02-09,10470.740234,10495.549805,10593.030273,10579.030273
2004-02-10,10495.549805,10593.030273,10579.030273,10613.849609
2004-02-11,10593.030273,10579.030273,10613.849609,10737.700195
2004-02-12,10579.030273,10613.849609,10737.700195,10694.070313
2004-02-13,10613.849609,10737.700195,10694.070313,10627.849609
2004-02-17,10737.700195,10694.070313,10627.849609,10714.879883
2004-02-18,10694.070313,10627.849609,10714.879883,10671.990234
2004-02-19,10627.849609,10714.879883,10671.990234,10664.730469
2004-02-20,10714.879883,10671.990234,10664.730469,10619.030273
2004-02-23,10671.990234,10664.730469,10619.030273,10609.620117
2004-02-24,10664.730469,10619.030273,10609.620117,10566.370117
2004-02-25,10619.030273,10609.620117,10566.370117,10601.620117
2004-02-26,10609.620117,10566.370117,10601.620117,10580.139648
2004-02-27,10566.370117,10601.620117,10580.139648,10583.919922
2004-03-01,10601.620117,10580.139648,10583.919922,10678.139648
2004-03-02,10580.139648,10583.919922,10678.139648,10591.480469
2004-03-03,10583.919922,10678.139648,10591.480469,10593.110352
2004-03-04,10678.139648,10591.480469,10593.110352,10588
2004-03-05,10591.480469,10593.110352,10588,10595.549805
2004-03-08,10593.110352,10588,10595.549805,10529.480469
2004-03-09,10588,10595.549805,10529.480469,10456.959961
2004-03-10,10595.549805,10529.480469,10456.959961,10296.889648
2004-03-11,10529.480469,10456.959961,10296.889648,10128.379883
2004-03-12,10456.959961,10296.889648,10128.379883,10240.080078
2004-03-15,10296.889648,10128.379883,10240.080078,10102.889648
2004-03-16,10128.379883,10240.080078,10102.889648,10184.669922
2004-03-17,10240.080078,10102.889648,10184.669922,10300.299805
2004-03-18,10102.889648,10184.669922,10300.299805,10295.780273
2004-03-19,10184.669922,10300.299805,10295.780273,10186.599609
2004-03-22,10300.299805,10295.780273,10186.599609,10064.75
2004-03-23,10295.780273,10186.599609,10064.75,10063.639648
2004-03-24,10186.599609,10064.75,10063.639648,10048.230469
2004-03-25,10064.75,10063.639648,10048.230469,10218.820313
2004-03-26,10063.639648,10048.230469,10218.820313,10212.969727
2004-03-29,10048.230469,10218.820313,10212.969727,10329.629883
2004-03-30,10218.820313,10212.969727,10329.629883,10381.700195
2004-03-31,10212.969727,10329.629883,10381.700195,10357.700195
2004-04-01,10329.629883,10381.700195,10357.700195,10373.330078
2004-04-02,10381.700195,10357.700195,10373.330078,10470.589844
2004-04-05,10357.700195,10373.330078,10470.589844,10558.370117
2004-04-06,10373.330078,10470.589844,10558.370117,10570.80957
2004-04-07,10470.589844,10558.370117,10570.80957,10480.150391
2004-04-08,10558.370117,10570.80957,10480.150391,10442.030273
2004-04-12,10570.80957,10480.150391,10442.030273,10515.55957
2004-04-13,10480.150391,10442.030273,10515.55957,10381.280273
2004-04-14,10442.030273,10515.55957,10381.280273,10377.950195
2004-04-15,10515.55957,10381.280273,10377.950195,10397.459961
2004-04-16,10381.280273,10377.950195,10397.459961,10451.969727
2004-04-19,10377.950195,10397.459961,10451.969727,10437.849609
2004-04-20,10397.459961,10451.969727,10437.849609,10314.5
2004-04-21,10451.969727,10437.849609,10314.5,10317.269531
2004-04-22,10437.849609,10314.5,10317.269531,10461.200195
2004-04-23,10314.5,10317.269531,10461.200195,10472.839844
2004-04-26,10317.269531,10461.200195,10472.839844,10444.730469
2004-04-27,10461.200195,10472.839844,10444.730469,10478.160156
2004-04-28,10472.839844,10444.730469,10478.160156,10342.599609
2004-04-29,10444.730469,10478.160156,10342.599609,10272.269531
2004-04-30,10478.160156,10342.599609,10272.269531,10225.570313
2004-05-03,10342.599609,10272.269531,10225.570313,10314
2004-05-04,10272.269531,10225.570313,10314,10317.200195
2004-05-05,10225.570313,10314,10317.200195,10310.950195
2004-05-06,10314,10317.200195,10310.950195,10241.259766
2004-05-07,10317.200195,10310.950195,10241.259766,10117.339844
2004-05-10,10310.950195,10241.259766,10117.339844,9990.019531
2004-05-11,10241.259766,10117.339844,9990.019531,10019.469727
2004-05-12,10117.339844,9990.019531,10019.469727,10045.160156
2004-05-13,9990.019531,10019.469727,10045.160156,10010.740234
2004-05-14,10019.469727,10045.160156,10010.740234,10012.870117
2004-05-17,10045.160156,10010.740234,10012.870117,9906.910156
2004-05-18,10010.740234,10012.870117,9906.910156,9968.509766
2004-05-19,10012.870117,9906.910156,9968.509766,9937.709961
2004-05-20,9906.910156,9968.509766,9937.709961,9937.639648
2004-05-21,9968.509766,9937.709961,9937.639648,9966.740234
2004-05-24,9937.709961,9937.639648,9966.740234,9958.429688
2004-05-25,9937.639648,9966.740234,9958.429688,10117.620117
2004-05-26,9966.740234,9958.429688,10117.620117,10109.889648
2004-05-27,9958.429688,10117.620117,10109.889648,10205.200195
2004-05-28,10117.620117,10109.889648,10205.200195,10188.450195
2004-06-01,10109.889648,10205.200195,10188.450195,10202.650391
2004-06-02,10205.200195,10188.450195,10202.650391,10262.969727
2004-06-03,10188.450195,10202.650391,10262.969727,10195.910156
2004-06-04,10202.650391,10262.969727,10195.910156,10242.820313
2004-06-07,10262.969727,10195.910156,10242.820313,10391.080078
2004-06-08,10195.910156,10242.820313,10391.080078,10432.519531
2004-06-09,10242.820313,10391.080078,10432.519531,10368.44043
2004-06-10,10391.080078,10432.519531,10368.44043,10410.099609
2004-06-14,10432.519531,10368.44043,10410.099609,10334.730469
2004-06-15,10368.44043,10410.099609,10334.730469,10380.429688
2004-06-16,10410.099609,10334.730469,10380.429688,10379.580078
2004-06-17,10334.730469,10380.429688,10379.580078,10377.519531
2004-06-18,10380.429688,10379.580078,10377.519531,10416.410156
2004-06-21,10379.580078,10377.519531,10416.410156,10371.469727
2004-06-22,10377.519531,10416.410156,10371.469727,10395.070313
2004-06-23,10416.410156,10371.469727,10395.070313,10479.570313
2004-06-24,10371.469727,10395.070313,10479.570313,10443.80957
2004-06-25,10395.070313,10479.570313,10443.80957,10371.839844
2004-06-28,10479.570313,10443.80957,10371.839844,10357.089844
2004-06-29,10443.80957,10371.839844,10357.089844,10413.429688
2004-06-30,10371.839844,10357.089844,10413.429688,10435.480469
2004-07-01,10357.089844,10413.429688,10435.480469,10334.160156
2004-07-02,10413.429688,10435.480469,10334.160156,10282.830078
2004-07-06,10435.480469,10334.160156,10282.830078,10219.339844
2004-07-07,10334.160156,10282.830078,10219.339844,10240.290039
2004-07-08,10282.830078,10219.339844,10240.290039,10171.55957
2004-07-09,10219.339844,10240.290039,10171.55957,10213.219727
2004-07-12,10240.290039,10171.55957,10213.219727,10238.219727
2004-07-13,10171.55957,10213.219727,10238.219727,10247.589844
2004-07-14,10213.219727,10238.219727,10247.589844,10208.799805
2004-07-15,10238.219727,10247.589844,10208.799805,10163.160156
2004-07-16,10247.589844,10208.799805,10163.160156,10139.780273
2004-07-19,10208.799805,10163.160156,10139.780273,10094.05957
2004-07-20,10163.160156,10139.780273,10094.05957,10149.070313
2004-07-21,10139.780273,10094.05957,10149.070313,10046.129883
2004-07-22,10094.05957,10149.070313,10046.129883,10050.330078
2004-07-23,10149.070313,10046.129883,10050.330078,9962.219727
2004-07-26,10046.129883,10050.330078,9962.219727,9961.919922
2004-07-27,10050.330078,9962.219727,9961.919922,10085.139648
2004-07-28,9962.219727,9961.919922,10085.139648,10117.070313
2004-07-29,9961.919922,10085.139648,10117.070313,10129.240234
2004-07-30,10085.139648,10117.070313,10129.240234,10139.709961
2004-08-02,10117.070313,10129.240234,10139.709961,10179.160156
2004-08-03,10129.240234,10139.709961,10179.160156,10120.240234
2004-08-04,10139.709961,10179.160156,10120.240234,10126.509766
2004-08-05,10179.160156,10120.240234,10126.509766,9963.030273
2004-08-06,10120.240234,10126.509766,9963.030273,9815.330078
2004-08-09,10126.509766,9963.030273,9815.330078,9814.660156
2004-08-10,9963.030273,9815.330078,9814.660156,9944.669922
2004-08-11,9815.330078,9814.660156,9944.669922,9938.320313
2004-08-12,9814.660156,9944.669922,9938.320313,9814.589844
2004-08-13,9944.669922,9938.320313,9814.589844,9825.349609
2004-08-16,9938.320313,9814.589844,9825.349609,9954.549805
2004-08-17,9814.589844,9825.349609,9954.549805,9972.830078
2004-08-18,9825.349609,9954.549805,9972.830078,10083.150391
2004-08-19,9954.549805,9972.830078,10083.150391,10040.820313
2004-08-20,9972.830078,10083.150391,10040.820313,10110.139648
2004-08-23,10083.150391,10040.820313,10110.139648,10073.049805
2004-08-24,10040.820313,10110.139648,10073.049805,10098.629883
2004-08-25,10110.139648,10073.049805,10098.629883,10181.740234
2004-08-26,10073.049805,10098.629883,10181.740234,10173.410156
2004-08-27,10098.629883,10181.740234,10173.410156,10195.009766
2004-08-30,10181.740234,10173.410156,10195.009766,10122.519531
2004-08-31,10173.410156,10195.009766,10122.519531,10173.919922
2004-09-01,10195.009766,10122.519531,10173.919922,10168.459961
2004-09-02,10122.519531,10173.919922,10168.459961,10290.280273
2004-09-03,10173.919922,10168.459961,10290.280273,10260.200195
2004-09-07,10168.459961,10290.280273,10260.200195,10342.790039
2004-09-08,10290.280273,10260.200195,10342.790039,10313.360352
