"Week","investment","growth","derivatives","crisis","unemployment","banking","dow","economy","stocks","economics","hedge","invest","profit","leverage","risk","revenue","nasdaq","metals","politics","consumption","cash","dividend","finance","portfolio","conflict","oil","fed","gain","short","energy","credit","loss","earnings","stock","transaction","housing","nyse","success","bubble","trader","environment","greed","opportunity","inflation","money","sell","returns","society","chance","present","world","rich","war","return","markets","crash","freedom","office","headlines","house","culture","arts","buy","ore","food","bonds","tourism","holiday","health","train","fine","gold","marriage","water","cancer","car","debt","travel","happy","forex","restaurant","default","ring","lifestyle","labor","fond","religion","financial","rare","home","kitchen","garden","fun","movie","consume","gains"
2016-03-13,81,84,47,66,34,73,21,79,52,77,80,36,82,61,86,62,41,66,48,65,48,81,64,77,77,86,52,50,90,84,81,82,33,18,69,89,12,53,81,74,79,59,77,71,75,86,59,75,25,57,19,49,55,61,51,24,55,82,48,87,28,39,45,60,78,83,67,24,75,55,48,55,21,78,66,85,41,70,50,78,82,53,69,34,17,63,64,25,11,77,78,86,74,60,78,62
2016-03-20,84,80,47,66,33,70,18,75,48,68,84,36,83,59,85,59,40,62,35,60,47,71,61,74,72,83,50,48,75,75,81,80,32,19,67,92,13,51,79,75,72,57,70,73,74,84,62,72,26,53,19,48,47,59,53,26,53,85,47,83,26,38,46,63,75,74,65,26,76,57,49,51,19,75,66,83,37,73,50,77,85,52,66,33,16,68,69,21,16,77,80,85,76,63,89,61
2016-03-27,88,86,49,66,34,78,20,76,48,82,80,37,84,57,90,64,41,63,32,66,51,82,65,76,73,84,50,52,71,81,86,83,34,17,66,97,12,54,83,100,77,81,75,81,80,84,67,73,25,56,20,51,49,61,53,25,57,89,46,82,27,39,46,61,75,77,68,24,80,55,50,52,21,77,68,85,39,70,62,79,84,54,65,35,16,59,67,24,11,83,81,88,74,64,83,64
2016-04-03,91,86,52,68,33,74,17,86,50,86,83,40,88,71,92,67,40,66,33,65,50,80,65,80,81,84,51,53,78,85,85,88,39,16,68,99,11,55,83,74,87,69,74,85,78,86,68,74,26,60,19,48,54,63,51,29,59,87,42,80,30,42,45,53,78,86,69,21,80,59,48,52,20,79,67,83,42,70,43,85,82,52,66,34,17,74,65,27,5,82,81,87,74,58,90,66
2016-04-10,93,91,57,73,37,74,18,94,54,85,78,40,92,70,93,81,40,68,29,68,50,86,66,85,85,86,52,53,87,89,87,86,53,18,70,100,11,58,83,75,94,70,80,87,79,87,75,76,24,64,18,50,66,75,50,26,61,91,45,82,31,43,45,59,78,88,69,21,78,55,52,54,22,78,70,85,43,75,44,75,82,55,72,36,17,64,67,27,11,83,79,89,74,63,92,69
2016-04-17,87,90,47,74,33,74,19,92,54,81,81,41,88,73,90,69,43,69,32,81,51,81,65,79,80,86,52,51,90,84,82,81,68,17,66,97,12,53,82,72,96,67,76,88,80,88,63,72,24,62,19,52,63,67,52,25,58,86,39,81,30,42,44,59,77,88,67,21,76,59,50,52,21,82,68,87,42,68,46,72,80,53,72,34,17,61,67,18,11,79,76,92,72,57,94,59
2016-04-24,85,91,67,75,34,72,17,90,51,85,89,38,89,68,95,58,44,67,32,74,51,82,67,83,87,85,52,50,84,85,81,81,100,17,68,98,12,52,81,70,93,68,73,86,80,89,58,77,26,65,19,51,69,54,50,24,64,81,41,81,31,40,45,55,74,85,67,19,76,56,47,52,21,78,67,81,43,66,44,80,80,53,72,36,17,65,65,19,24,81,77,92,72,57,89,55
2016-05-01,88,88,65,75,34,79,17,91,52,87,89,37,87,68,89,51,44,67,34,68,51,85,64,82,88,84,50,49,73,82,83,77,58,16,66,94,11,54,83,77,91,63,73,85,81,88,52,73,31,69,19,55,100,53,48,25,59,83,44,82,29,41,46,60,77,86,69,21,75,55,50,53,20,77,67,84,44,68,54,80,87,53,73,33,17,62,68,29,8,82,77,93,72,58,81,48
2016-05-08,82,85,47,68,32,75,17,84,47,83,100,35,78,62,82,50,36,63,29,64,51,74,63,77,78,83,47,49,70,82,82,78,43,15,65,92,11,54,84,80,83,70,69,84,88,90,53,74,63,61,19,51,98,50,50,25,55,85,42,80,28,40,45,56,80,78,70,21,77,59,48,53,21,79,67,83,43,67,82,83,90,54,69,34,16,61,62,25,8,85,77,100,75,63,79,47
2016-05-15,78,82,43,63,31,73,17,83,47,71,87,37,74,58,80,49,38,65,25,52,50,66,63,71,74,86,50,48,71,79,86,77,34,15,64,95,11,53,83,78,81,63,71,72,89,87,52,75,51,57,19,49,71,50,51,35,55,87,48,85,26,39,45,60,81,78,66,22,76,59,48,53,20,82,69,89,37,74,45,77,86,52,70,34,18,62,59,25,5,85,76,91,80,63,77,49
2016-05-22,73,74,38,59,31,73,17,73,42,65,91,37,70,56,77,46,40,62,22,55,52,62,60,69,67,85,50,48,60,73,81,76,29,13,64,86,12,48,81,78,71,58,59,68,85,85,51,69,38,53,18,47,61,50,49,29,55,83,43,83,23,37,46,59,80,68,64,24,74,59,48,51,20,87,65,86,34,69,47,72,86,53,66,32,18,67,53,18,6,85,76,93,80,63,73,46
2016-05-29,67,70,27,50,32,79,13,61,38,49,87,32,67,52,70,39,35,50,21,52,53,57,56,60,56,84,47,48,45,68,86,78,25,12,67,85,9,45,78,83,65,56,56,57,85,86,48,64,33,48,20,49,53,48,48,37,57,78,43,81,21,39,49,61,78,69,62,26,67,64,47,53,21,94,61,88,31,72,45,73,91,48,66,34,17,66,51,17,20,85,77,92,79,68,66,42
2016-06-05,75,73,31,53,32,75,17,60,42,52,86,32,69,43,73,44,37,56,27,54,52,65,66,67,57,81,49,47,60,67,82,77,26,13,69,86,9,45,77,75,65,53,65,59,81,93,46,64,30,48,19,48,43,46,48,27,55,83,38,80,21,40,47,59,77,66,62,23,72,61,47,52,20,88,65,89,43,73,46,71,84,51,66,34,17,65,50,17,0,82,76,89,77,64,63,52
2016-06-12,75,68,28,55,32,76,16,51,41,43,85,31,69,45,72,45,37,54,23,48,52,62,61,60,47,80,53,44,51,63,84,76,26,13,67,88,10,43,71,73,64,53,57,56,78,89,45,61,26,43,20,44,40,45,51,27,54,85,50,78,20,38,48,58,75,62,59,22,72,60,47,51,20,89,61,90,32,71,47,69,92,51,65,34,16,68,61,19,8,81,76,82,75,68,69,42
2016-06-19,73,68,27,48,32,75,35,64,58,44,92,38,67,42,70,44,57,54,21,48,51,67,68,60,42,82,46,46,85,63,81,79,28,34,70,89,21,42,71,76,50,54,56,52,84,91,47,63,30,37,19,47,33,47,71,26,54,82,48,81,19,38,47,63,75,63,60,24,71,61,46,54,20,94,66,91,35,73,66,100,88,54,67,32,16,67,45,39,8,80,73,82,75,68,63,47
2016-06-26,74,67,26,48,33,79,41,56,54,39,87,37,66,47,71,42,50,52,21,50,54,76,69,61,41,83,47,46,61,63,86,76,28,30,68,85,16,44,72,78,49,48,54,55,81,91,45,59,26,37,20,43,33,47,67,28,69,84,45,82,19,36,50,65,78,67,71,25,72,68,48,56,21,98,68,92,34,78,45,89,88,52,66,33,18,61,47,35,14,82,77,83,75,67,65,46
2016-07-03,67,65,23,44,32,76,18,48,43,38,81,32,59,49,63,37,33,50,23,57,54,63,56,58,37,76,44,44,50,61,84,73,30,14,60,83,9,39,70,83,44,56,51,55,77,90,44,59,26,35,18,45,36,43,54,25,73,76,51,82,18,34,48,62,80,59,59,30,66,66,46,52,19,88,60,90,32,72,52,70,91,46,67,31,18,88,45,24,3,83,78,83,76,70,63,38
2016-07-10,77,69,24,45,32,78,24,49,52,38,80,36,64,46,68,44,43,52,24,57,52,65,63,63,39,79,47,49,69,64,85,80,42,17,63,92,15,41,71,75,48,54,58,53,78,90,45,65,27,37,17,57,32,45,53,26,54,85,47,81,17,36,49,57,78,61,58,24,75,67,46,54,20,90,65,92,34,75,41,78,95,52,66,32,19,97,49,23,6,87,80,83,71,64,59,41
2016-07-17,75,70,25,48,34,79,20,53,47,41,87,33,69,58,75,44,44,51,37,57,55,63,63,66,42,79,44,49,72,62,84,78,64,15,62,92,13,42,74,73,46,51,54,53,78,88,50,66,29,37,17,50,31,46,51,24,53,89,50,81,18,36,49,72,77,66,66,25,72,70,47,55,20,94,66,92,39,76,44,78,94,52,69,33,20,98,50,23,6,80,79,79,75,65,62,47
2016-07-24,72,67,24,50,33,74,18,52,45,38,86,33,68,62,69,42,47,50,57,51,58,69,63,62,42,80,51,47,71,63,83,80,80,13,62,90,11,41,71,72,46,61,55,54,75,88,55,66,29,39,18,49,41,45,49,26,51,88,45,82,18,35,48,71,78,61,53,23,73,66,48,56,21,93,62,92,39,73,45,71,93,53,68,33,21,100,44,18,0,78,78,79,71,69,63,44
2016-07-31,79,68,24,45,32,78,17,50,45,42,82,38,65,59,68,42,45,54,48,54,55,75,62,67,41,80,46,45,60,62,87,78,60,13,66,92,11,42,70,74,45,52,53,50,73,88,50,67,29,36,17,49,36,44,51,33,49,91,45,80,17,37,49,62,76,60,58,24,75,63,48,63,20,87,62,88,37,71,44,91,93,51,69,32,23,84,44,19,9,79,80,77,67,63,56,57
